Tasks,Completion time
Task 1 Zoom-in/out,19.18
Task 1 Zoom-in/out,7.46
Task 1 Zoom-in/out,10.69
Task 1 Zoom-in/out,18.93
Task 1 Zoom-in/out,20.53
Task 1 Zoom-in/out,6.87
Task 2 Zoom-in/out,33.74
Task 2 Zoom-in/out,8.28
Task 2 Zoom-in/out,4.57
Task 2 Zoom-in/out,131.42
Task 2 Zoom-in/out,11.7
Task 2 Zoom-in/out,16.14
Task 1 Overview+detail,164.04
Task 1 Overview+detail,47.71
Task 1 Overview+detail,75.86
Task 1 Overview+detail,25.86
Task 1 Overview+detail,116.05
Task 1 Overview+detail,90.68
Task 2 Overview+Detail,161.98
Task 2 Overview+Detail,NaN
Task 2 Overview+Detail,20.16
Task 2 Overview+Detail,6.72
Task 2 Overview+Detail,147.15
Task 2 Overview+Detail,NaN
